Sample_ID,Dose_Ratio,SUVmax_Bias_In(%),MAPE_In(%),CR_In(%),SUVmax_Bias_Out(%),MAPE_Out(%),CR_Out(%)
P0017_D2_Z0098,0.500,18.7972,34.6292,103.4089,-43.5829,20.1293,92.9937
P0017_D2_Z0099,0.500,-14.4520,32.7514,98.9756,-38.5643,20.7450,87.2275
P0017_D2_Z0100,0.500,27.5811,36.6051,96.0835,-17.5584,18.9625,84.4822
P0017_D2_Z0101,0.500,51.9919,39.7624,96.6937,-24.9376,20.1787,86.3919
P0017_D2_Z0102,0.500,89.9955,38.6161,103.7665,-5.6178,18.9704,92.4765
P0017_D2_Z0103,0.500,85.0726,37.8562,97.8894,-0.1436,18.4683,87.4150
P0017_D2_Z0104,0.500,147.2786,40.2536,95.9620,12.9458,19.4971,84.6448
P0017_D2_Z0105,0.500,83.0918,38.4753,95.9448,-7.7469,19.5409,85.8370
P0017_D2_Z0106,0.500,33.9178,36.8790,99.5911,-30.2610,19.4617,88.2207
P0017_D2_Z0107,0.500,-11.5508,36.7332,100.5819,-54.4576,22.5026,87.6604
P0017_D2_Z0108,0.500,4.4321,34.1721,96.6880,-42.3397,19.1987,86.0699
P0017_D2_Z0109,0.500,119.0759,37.5070,96.8224,-9.8344,19.5353,86.4697
P0017_D2_Z0110,0.500,97.6407,39.9398,98.3694,0.4433,20.1471,88.8436
P0017_D2_Z0111,0.500,108.2808,37.5910,101.8072,25.2042,19.3920,94.1539
P0017_D2_Z0112,0.500,47.4845,36.3368,101.8381,-3.0834,18.7926,93.1236
P0017_D2_Z0113,0.500,59.1734,37.4338,99.7394,0.7489,18.5646,86.1309
P0017_D2_Z0114,0.500,35.4622,37.1075,100.8296,-27.9099,19.0072,85.9347
P0017_D2_Z0115,0.500,27.8523,35.5451,103.2460,-36.2736,19.5368,90.0047
P0017_D2_Z0116,0.500,33.1938,37.1621,99.2420,-29.3216,19.9475,88.1264
P0017_D2_Z0117,0.500,73.8468,36.7996,98.1091,0.9051,18.5667,87.7724
P0017_D2_Z0118,0.500,70.4136,38.2722,91.6940,-25.4223,19.8860,82.3165
P0017_D2_Z0119,0.500,6.9334,33.6422,95.2692,-17.6101,19.4525,85.1265
P0017_D2_Z0120,0.500,14.2520,32.2130,100.2744,0.7004,18.0957,90.7470
P0017_D2_Z0121,0.500,11.3687,30.3995,101.8634,-7.7421,17.4706,90.7531
P0017_D2_Z0122,0.500,7.1640,25.2964,99.2944,-9.5309,17.8280,86.7523
P0017_D2_Z0123,0.500,15.3141,22.3407,101.3682,0.6394,16.1806,91.7119
P0017_D2_Z0124,0.500,17.3927,28.0557,102.1238,-3.2406,21.7670,86.0552
P0017_D2_Z0125,0.500,15.5713,24.6885,101.3193,-2.2313,22.6482,88.8967
P0017_D2_Z0126,0.500,8.5326,24.5660,98.0932,-27.4790,22.9594,85.0496
P0017_D2_Z0127,0.500,41.0253,34.5187,99.8575,-21.9405,20.5794,89.6064
P0017_D2_Z0128,0.500,-8.0956,29.1168,96.1877,-27.5532,19.6828,85.0252
P0017_D2_Z0129,0.500,-9.9902,26.7974,101.3236,-10.8022,26.4873,96.7688
P0017_D2_Z0130,0.500,5.5848,24.9243,104.4995,-3.1596,26.9914,98.3249
P0017_D2_Z0131,0.500,11.7885,22.6804,104.2278,0.9565,20.1693,96.4399
P0017_D2_Z0132,0.500,28.6332,21.5069,104.7891,1.6773,20.4672,97.0764
